frame,matches,cx,cy,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y,kcx,kcy,ktl_x,ktl_y,ktr_x,ktr_y,kbl_x,kbl_y,kbr_x,kbr_y
99,139,313.86475,231.8529,371.98944,345.7085,260.00363,330.3767,371.67566,127.62127,262.4505,130.8174,308.63904,224.9063,365.50052,334.86612,272.24973,321.33643,362.06592,85.18393,269.48508,148.91653
100,152,313.99567,231.56223,389.8711,380.60657,267.90244,318.58347,381.91245,105.0779,275.0214,154.74298,309.9905,227.98616,370.70895,348.49854,270.42816,321.5333,367.70352,93.33305,270.48242,149.29688
101,148,313.9343,231.1168,372.07324,346.37598,258.80615,328.82565,374.98123,124.42248,264.03864,131.87021,310.8789,229.78732,370.794,350.8304,266.94717,323.9632,370.42838,103.85014,268.73755,144.35928
102,138,313.8441,231.063,377.67178,364.2315,263.17194,322.0518,377.7661,117.86408,271.58078,142.58861,311.87646,232.09184,372.20724,357.81543,264.74936,324.61407,373.74808,112.28469,268.9778,142.39317
103,142,314.22348,230.72656,369.64432,345.60617,259.34314,328.69995,374.36685,124.85537,264.70563,127.74117,312.7224,233.43694,371.53372,358.07095,262.35574,326.4355,375.26065,119.57122,267.6522,137.60461
104,136,314.3781,229.76582,368.34775,342.93402,260.66336,327.57172,374.191,122.34791,266.27292,128.55273,313.44812,234.18143,370.68,357.0857,260.87622,327.531,376.23093,124.26476,266.97504,134.04974
105,147,314.72922,229.13602,373.36414,350.20193,259.17752,325.52106,377.65942,121.450195,267.5362,131.36472,314.1543,234.63701,371.12766,357.7954,259.31876,327.94458,377.8074,127.85647,266.70935,131.73589
106,155,314.0217,228.4772,371.68463,340.52496,255.1205,329.34103,376.15106,123.54968,261.37183,125.82574,314.5744,234.8694,371.13983,355.9246,257.07776,329.1418,378.73596,131.1653,265.04407,128.51933
107,143,313.54877,227.36705,372.89984,345.87466,255.57123,326.6707,375.4703,122.77521,264.03745,128.1745,314.76947,234.42435,371.4624,355.08994,255.55661,329.33905,379.06958,132.82675,264.3429,126.74166
108,147,312.34598,226.00378,369.65704,347.4162,256.61267,324.24127,376.3997,114.57027,268.43738,132.6511,314.6918,233.8407,370.936,354.90323,254.17546,329.02835,379.79346,132.89067,264.71423,125.906876
109,152,307.37784,187.50731,344.07837,167.05461,343.9241,159.03357,333.6892,167.04332,375.05533,149.82005,325.4612,210.34213,363.64716,306.1339,276.65085,284.3969,368.6845,145.69778,293.68262,130.34775
110,161,308.07916,224.61436,372.9629,344.256,247.047,327.67856,371.51172,118.983734,255.19608,126.776024,322.58176,212.07956,365.08664,310.85333,269.98074,290.67722,368.9532,143.7844,286.50253,127.95414
111,153,304.8501,225.33612,368.73544,335.20053,240.40883,334.81982,367.21524,120.87615,243.03934,118.691895,318.33807,214.98091,365.6744,315.25922,262.3507,300.51935,368.29285,139.75337,275.90564,124.79351
112,152,304.35754,226.23964,374.4077,339.52518,241.8619,334.95975,367.4875,117.982445,242.72275,126.24061,314.9557,217.09657,367.558,319.2821,256.23694,308.19604,367.69952,136.44482,267.07812,123.78713
113,150,303.35385,226.902,374.35205,340.27042,241.97614,333.9598,366.7349,117.94088,241.36726,127.60516,312.08463,219.12563,369.12476,323.55103,252.12999,314.2456,367.26318,132.8446,260.31924,124.05163
